image,pixel_spacing_x,pixel_spacing_y,image_source,have_metadata,original_width,original_height,image_id
random-id-4c70998f-e9c6-4476-9183-abc44570d8dd,0.139,0.139,NYU Langone Health,True,3032,2520,generated_id_4e074085
random-id-3f497cf9-9be8-44b4-ba75-080dc7690c25,0.15,0.15,NYU Langone Health,True,2312,2836,generated_id_4e074085
random-id-52e58929-144c-4fb5-a416-4f80ee40828b,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_6b86b273
random-id-65b277b7-1a04-48c9-80d2-2694a21ef59a,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_6b86b273
random-id-453bdf33-feb4-443d-aabb-1e33c7ce360b,0.148,0.148,NYU Langone Health,True,2350,2782,generated_id_d4735e3a
random-id-bd959475-ef37-46cb-8c33-7888003fbbdf,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_4e074085
random-id-b82d18c8-d666-43ef-bc9d-cc8d14c9831e,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_6b86b273
random-id-a1e70577-92d8-4eb6-ad21-6147e6fe9f63,0.139,0.139,NYU Langone Health,True,2544,3056,generated_id_4e074085
random-id-de15aeb5-972a-4493-b3aa-b2050f96fa61,0.139,0.139,NYU Langone Health,True,3028,2517,generated_id_6b86b273
random-id-d8fa9d1e-5ef6-4b4f-9080-542b18097d63,0.148,0.148,NYU Langone Health,True,2350,2866,generated_id_d4735e3a
random-id-9babb24e-7e9d-4dd3-b5bb-6f258fb83f78,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_6b86b273
random-id-b05fa441-a429-4794-9151-05b1ea01610b,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_6b86b273
random-id-7fe9f71f-5430-486c-88a1-5b536910fd82,0.148,0.148,NYU Langone Health,True,2350,2866,generated_id_d4735e3a
random-id-ba057523-f122-4fcb-8fa9-d2891e3dd7fd,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_4e074085
random-id-0bcadde5-9f84-4707-8e3d-cf3e05948d7e,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_6b86b273
random-id-94a11b66-ff66-4bb1-ab78-c93bdcbb7b4f,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_4e074085
random-id-eea7d18a-b94d-438e-a7bd-c4aec0d546c8,0.148,0.148,NYU Langone Health,True,2350,2866,generated_id_6b86b273
random-id-769831bc-8e40-4c8f-a88f-e6d3dd9dda5d,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_4e074085
random-id-6d8f3c50-6bb9-46c1-8824-1dee59709a6d,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_d4735e3a
random-id-aa7463d8-2ca6-43c0-8e7e-9bb55bfc40dd,0.148,0.148,NYU Langone Health,True,2350,2866,generated_id_d4735e3a
random-id-d857c152-5eea-4fd9-8546-f6481787716a,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_d4735e3a
random-id-b9aa88ec-8897-491d-ad51-90334386d71f,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_d4735e3a
random-id-54cba132-d6ff-44f1-9804-c5c110986c30,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_d4735e3a
random-id-489eedf0-c1a2-4219-9ecb-a03a043ad1f0,0.139,0.139,NYU Langone Health,True,2520,2741,generated_id_d4735e3a
random-id-8ee758e6-7d27-4d00-9ad4-4d2ccbe433b4,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_6b86b273
random-id-f97ba09b-419f-4781-8612-34558bb2e2ed,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_d4735e3a
random-id-05d179d3-336c-4536-9ab2-af0de4363b74,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_4e074085
random-id-8e85b617-8f00-4d91-9010-03173e43aca0,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_d4735e3a
random-id-363df4d9-f7b7-4c11-898d-7a1829c3034b,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_6b86b273
random-id-e68bc501-e6f2-4086-bcf1-64f5af9da967,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_6b86b273
random-id-8b9e2d9e-7964-415f-a142-9f68a9c3bb26,0.139,0.139,NYU Langone Health,True,2093,2585,generated_id_6b86b273
random-id-952ae4c8-b04c-43d4-8754-5a455da2e48c,0.139,0.139,NYU Langone Health,True,2517,2611,generated_id_ef2d127d
random-id-901cd76b-1ea4-41f5-a7a2-f4da2272a0c7,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_d4735e3a
random-id-8c57a002-d6d4-4d98-ad53-bcc91c50b1ac,0.139,0.139,NYU Langone Health,True,2280,3028,generated_id_4e074085
random-id-d7f40df9-835b-470c-a5c2-eea3b6f7aa08,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_4e074085
random-id-00e3e3e6-626d-4f8a-88b4-909b9654bc37,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_d4735e3a
random-id-9d41bc97-f803-46d6-a427-cea8ce102b45,0.139,0.139,NYU Langone Health,True,2374,2935,generated_id_6b86b273
random-id-e988b3eb-fae6-431f-901e-bb41cb96aa63,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_4e074085
random-id-d723a1b4-d9bd-4778-8e1b-cea86b5a4eed,0.139,0.139,NYU Langone Health,True,2517,2510,generated_id_6b86b273
random-id-922a2fb7-56cf-477e-b8ee-63468d2b986c,0.139,0.139,NYU Langone Health,True,2520,2596,generated_id_d4735e3a
random-id-af27506b-550a-4e9c-9691-10aa58d9454c,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_6b86b273
random-id-9551c2e1-5e2f-41f7-bc8e-fd7dd3ab9e9f,0.139,0.139,NYU Langone Health,True,2165,3028,generated_id_4b227777
random-id-9a75b4a5-4ba2-41c9-b177-20cffafc9874,0.139,0.139,NYU Langone Health,True,2520,3032,generated_id_d4735e3a
random-id-dc9a3aad-5eeb-4c31-a591-8500a82f1341,0.15,0.15,NYU Langone Health,True,2336,2836,generated_id_4e074085
random-id-58096368-aa68-4a41-a4af-677f316db472,0.139,0.139,NYU Langone Health,True,2517,3028,generated_id_d4735e3a
